gender,isHomeOwner,isMarried,schoolLocation,isGraduateStudent,isGraduatedOrSuspended,incomePercent,totalAsset,carValue,hasCar,isPriority1Eligible,isRecipient,isSingleParentFamily,isParentsHomeless,isApplicantDisabled,isParentsDisabled,subscriptionCount,applied_danji,applied_priority,derived_priority,derived_score,Pass
여성,0,0,서울,0,0,126,19794273,0,0,0,0,0,0,0,0,10,연남공공원룸텔,3,4,1,0
여성,0,1,서울,0,0,37,52831009,0,0,0,0,0,0,0,0,1,연남공공원룸텔,3,4,3,0
여성,0,0,서울,0,0,58,112424417,0,0,0,0,0,1,0,0,15,희망하우징(정릉동 1036),3,4,4,0
남성,0,0,서울,0,0,152,402644392,0,0,0,0,0,0,0,0,8,연남공공원룸텔,2,4,1,0
여성,0,0,서울,0,0,97,300173894,17973272,1,0,0,0,0,0,0,10,희망하우징(정릉동 1036),2,2,1,0
남성,0,0,서울,0,0,58,79190008,0,0,1,0,1,0,0,0,12,희망하우징(정릉동 1036),1,1,5,1
여성,0,0,서울,0,0,38,65907088,0,0,0,0,0,1,0,0,0,희망하우징(정릉동 1036),3,3,5,0
여성,0,0,서울,0,0,107,29834119,0,0,0,0,0,0,0,0,6,희망하우징(정릉동 1036),3,4,1,0
여성,0,0,서울,0,0,148,183437011,44808241,1,0,0,0,0,0,0,16,연남공공원룸텔,2,4,2,0
여성,0,0,서울,0,0,59,74985553,0,0,1,0,0,0,0,0,7,희망하우징(정릉동 1036),1,1,1,1
여성,0,0,서울,0,0,80,48626436,0,0,0,0,0,1,0,1,26,희망하우징(정릉동 1036),3,3,6,0
남성,0,0,서울,0,0,67,258484433,28195408,1,0,0,0,1,0,0,19,희망하우징(정릉동 1036),2,2,4,1
남성,0,0,서울,0,0,20,31198492,0,0,1,0,1,1,0,0,15,연남공공원룸텔,1,1,7,1
여성,0,0,서울,0,0,148,170024342,21748398,1,0,0,0,1,0,1,1,연남공공원룸텔,2,4,3,0
여성,1,0,기타,0,0,38,70981700,0,0,1,0,0,1,0,0,30,희망하우징(정릉동 1036),1,4,5,0
여성,0,0,서울,0,0,134,330985722,48103152,1,0,0,0,1,0,0,20,연남공공원룸텔,2,4,4,0
여성,0,0,서울,1,0,11,45002007,0,0,0,0,0,1,0,0,18,희망하우징(정릉동 1036),3,4,7,0
여성,0,0,서울,0,0,89,102649206,0,0,0,0,0,1,0,0,7,연남공공원룸텔,3,3,3,0
여성,0,1,서울,0,0,35,20988446,0,0,1,0,1,1,0,0,29,연남공공원룸텔,1,4,8,0
남성,0,0,서울,0,0,62,106223100,0,0,0,0,0,0,0,0,14,연남공공원룸텔,3,4,2,0
여성,0,0,서울,0,0,40,266984874,0,0,0,0,0,0,0,0,1,연남공공원룸텔,2,2,3,0
남성,0,0,서울,0,0,48,60666702,0,0,1,1,1,0,0,0,17,연남공공원룸텔,1,4,8,0
여성,0,0,서울,0,0,49,66925500,0,0,1,0,0,1,0,0,11,연남공공원룸텔,1,1,3,1
여성,1,0,서울,0,0,21,42301683,0,0,0,0,0,0,0,0,19,연남공공원룸텔,1,4,2,0
남성,0,0,서울,0,0,84,41428626,0,0,0,0,0,1,0,0,21,연남공공원룸텔,3,3,4,0
남성,0,1,서울,0,0,115,244023915,0,0,0,0,0,1,0,1,30,희망하우징(정릉동 1036),2,4,6,0
여성,0,0,서울,0,0,86,125097236,0,0,0,0,0,1,0,0,30,희망하우징(정릉동 1036),3,4,5,0
남성,0,0,서울,0,0,132,252264042,0,0,0,0,0,0,0,0,2,희망하우징(정릉동 1036),2,4,0,0
남성,0,0,서울,0,0,134,212983652,42139835,1,0,0,0,1,0,0,12,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,52,402055750,31490491,1,0,0,0,1,0,0,18,연남공공원룸텔,2,4,4,0
남성,0,0,서울,0,0,51,55307111,0,0,1,0,1,0,0,1,20,연남공공원룸텔,1,1,6,1
여성,0,0,서울,0,0,23,14539747,0,0,0,0,0,1,0,0,1,희망하우징(정릉동 1036),1,4,2,0
여성,0,0,서울,0,0,51,12111482,0,0,1,1,1,0,0,0,16,연남공공원룸텔,1,1,8,1
여성,0,0,서울,0,0,32,43878996,0,0,1,0,1,1,0,0,11,희망하우징(정릉동 1036),1,1,6,1
남성,0,0,서울,0,0,18,22549425,0,0,0,0,0,0,0,0,22,희망하우징(정릉동 1036),3,4,5,0
남성,0,0,서울,1,1,157,172844802,0,0,0,0,0,1,0,0,8,연남공공원룸텔,2,4,3,0
남성,1,0,서울,0,0,63,88790652,0,0,0,0,0,1,0,1,9,연남공공원룸텔,3,4,4,0
남성,0,0,서울,0,0,30,77215278,0,0,0,0,0,0,0,0,2,연남공공원룸텔,3,3,3,0
여성,0,0,기타,0,0,95,249717244,0,0,0,0,0,1,0,0,25,희망하우징(정릉동 1036),2,4,5,0
남성,0,0,서울,0,0,48,58307308,0,0,1,0,0,1,0,0,13,연남공공원룸텔,1,1,4,1
여성,0,0,서울,0,0,25,42580349,0,0,1,1,1,1,0,0,4,희망하우징(정릉동 1036),1,1,8,1
여성,0,0,서울,0,0,72,282387032,43272738,1,0,0,0,1,0,0,9,희망하우징(정릉동 1036),2,2,3,0
여성,0,0,서울,0,0,123,223081270,0,0,0,0,0,1,0,0,5,연남공공원룸텔,2,4,2,0
여성,0,0,기타,0,0,140,360955442,0,0,0,0,0,1,0,1,5,희망하우징(정릉동 1036),2,4,3,0
여성,0,0,서울,0,0,137,28680305,0,0,0,0,0,0,0,0,25,연남공공원룸텔,3,4,3,0
남성,1,0,서울,0,0,109,169738144,34127615,1,0,0,0,1,0,0,29,희망하우징(정릉동 1036),2,4,5,0
남성,0,0,서울,0,1,47,24219637,0,0,1,0,0,0,0,0,16,연남공공원룸텔,1,4,2,0
여성,0,0,서울,0,0,53,308608966,0,0,0,0,0,1,0,1,4,연남공공원룸텔,2,2,3,0
여성,0,0,서울,0,0,80,186063951,0,0,0,0,0,1,0,0,20,희망하우징(정릉동 1036),2,2,4,0
남성,0,0,서울,0,0,113,94524999,0,0,0,0,0,1,0,0,19,연남공공원룸텔,3,4,4,0
여성,0,0,서울,0,0,36,117307389,0,0,0,0,0,0,0,0,8,연남공공원룸텔,3,4,4,0
여성,0,0,서울,0,0,86,133303488,0,0,0,0,0,0,0,0,9,희망하우징(정릉동 1036),3,4,1,0
남성,0,0,서울,0,0,121,243004725,0,0,0,0,0,1,0,0,14,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,51,32448383,0,0,1,1,1,0,0,0,9,연남공공원룸텔,1,1,7,1
여성,0,0,서울,0,0,37,59239353,0,0,1,1,0,1,0,0,14,연남공공원룸텔,1,1,7,1
여성,0,0,서울,0,0,25,68930964,0,0,0,0,0,1,0,0,6,연남공공원룸텔,1,4,3,0
여성,0,0,서울,0,0,40,49276764,0,0,1,0,1,0,0,0,28,희망하우징(정릉동 1036),1,1,6,1
남성,0,1,서울,0,0,131,322924354,36353701,1,0,0,0,1,0,0,13,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,40,10331931,0,0,1,1,1,1,0,0,14,희망하우징(정릉동 1036),1,1,10,1
남성,0,0,서울,0,0,43,85986307,0,0,0,0,0,1,0,0,1,희망하우징(정릉동 1036),3,3,5,1
여성,0,0,서울,0,0,39,31337593,0,0,1,0,1,1,0,0,11,연남공공원룸텔,1,1,6,1
남성,0,0,서울,0,0,94,198962191,10072900,1,0,0,0,0,0,0,16,희망하우징(정릉동 1036),2,2,2,1
남성,0,0,기타,0,0,26,52057323,0,0,1,1,0,0,0,0,26,희망하우징(정릉동 1036),1,4,6,0
남성,0,0,서울,0,0,59,69375757,0,0,1,1,1,1,0,0,24,연남공공원룸텔,1,1,11,1
여성,1,0,서울,0,0,116,302965694,11800155,1,0,0,0,1,0,0,16,연남공공원룸텔,2,4,4,0
여성,0,0,서울,0,0,121,188124279,0,0,0,0,0,1,1,1,4,연남공공원룸텔,2,4,5,0
여성,0,0,서울,1,0,41,290759649,0,0,0,0,0,1,0,0,9,희망하우징(정릉동 1036),2,4,6,0
여성,0,0,서울,0,0,62,118455988,0,0,0,0,0,0,0,0,20,희망하우징(정릉동 1036),3,4,2,0
여성,0,0,서울,0,0,24,51512209,0,0,0,0,0,1,0,0,4,연남공공원룸텔,3,3,5,0
남성,1,0,서울,0,0,139,294291835,17922652,1,0,0,0,1,0,0,8,연남공공원룸텔,2,4,3,0
여성,1,0,서울,0,0,52,59350218,0,0,0,0,0,1,0,0,3,연남공공원룸텔,3,4,2,0
남성,0,0,서울,0,0,22,66286795,0,0,0,0,0,0,0,1,10,연남공공원룸텔,1,4,2,0
여성,0,0,서울,0,0,112,19251149,0,0,0,0,0,1,0,0,2,희망하우징(정릉동 1036),3,4,2,0
남성,0,0,서울,0,0,103,254916615,46678969,1,0,0,0,1,0,0,13,희망하우징(정릉동 1036),2,4,4,0
남성,0,0,서울,1,0,88,23951801,0,0,0,0,0,1,0,1,4,연남공공원룸텔,3,4,3,0
여성,1,0,서울,0,0,52,27919925,0,0,1,1,0,1,0,0,1,희망하우징(정릉동 1036),1,4,5,0
남성,0,0,기타,0,0,24,37207628,0,0,1,0,1,0,0,0,3,희망하우징(정릉동 1036),1,4,3,0
여성,0,0,서울,0,0,149,214378103,0,0,0,0,0,1,0,0,19,연남공공원룸텔,2,4,4,0
남성,0,0,기타,0,0,144,243344531,0,0,0,0,0,1,0,0,7,연남공공원룸텔,2,4,3,0
여성,0,0,서울,0,1,60,21279580,0,0,1,0,0,1,0,0,0,연남공공원룸텔,1,4,2,0
남성,0,0,서울,0,0,128,16796477,0,0,0,0,0,1,0,0,0,연남공공원룸텔,3,4,2,0
여성,0,0,서울,0,0,51,65296657,0,0,1,0,0,1,0,0,12,희망하우징(정릉동 1036),1,1,4,1
여성,0,0,서울,1,0,50,75052579,0,0,1,0,0,0,0,0,8,연남공공원룸텔,1,4,1,0
남성,0,0,서울,0,0,85,274963214,16719901,1,0,0,0,0,0,0,25,연남공공원룸텔,2,2,3,1
남성,0,0,서울,0,0,91,118207704,0,0,0,0,0,0,0,0,11,연남공공원룸텔,3,4,1,0
남성,0,0,서울,0,0,101,150366948,0,0,0,0,0,1,0,0,5,연남공공원룸텔,2,4,2,0
남성,0,0,서울,0,0,57,23560308,0,0,1,1,1,0,0,1,23,희망하우징(정릉동 1036),1,1,9,1
여성,0,0,서울,0,0,54,60785855,0,0,0,0,0,1,0,0,30,희망하우징(정릉동 1036),3,3,5,0
남성,0,0,기타,0,0,35,56548066,0,0,1,1,0,1,0,0,2,희망하우징(정릉동 1036),1,4,5,0
여성,0,0,서울,0,0,30,65568711,0,0,1,1,1,1,0,0,3,희망하우징(정릉동 1036),1,1,8,1
남성,0,0,서울,0,0,30,20066654,0,0,1,1,1,1,0,0,19,희망하우징(정릉동 1036),1,1,10,1
남성,1,0,서울,0,0,64,369730454,0,0,0,0,0,1,0,0,9,희망하우징(정릉동 1036),2,4,3,0
남성,0,0,서울,0,0,32,23017361,0,0,1,1,1,0,0,0,2,희망하우징(정릉동 1036),1,1,6,1
남성,0,0,서울,0,0,87,354786824,0,0,0,0,0,1,0,0,7,희망하우징(정릉동 1036),2,4,3,0
여성,0,0,서울,0,0,44,66187845,0,0,1,1,0,1,0,1,18,희망하우징(정릉동 1036),1,4,8,0
여성,0,0,서울,0,0,126,229160359,0,0,0,0,0,1,0,1,6,연남공공원룸텔,2,4,4,0
남성,0,1,서울,1,0,25,62089786,0,0,1,1,0,1,0,0,16,연남공공원룸텔,1,4,7,0
남성,0,0,서울,0,0,35,134141757,0,0,0,0,0,1,0,0,28,희망하우징(정릉동 1036),3,4,8,0
여성,0,0,서울,0,0,117,365671730,0,0,0,0,0,1,0,0,23,희망하우징(정릉동 1036),2,4,4,0
여성,0,0,서울,0,0,52,272383704,0,0,0,0,0,1,0,0,8,희망하우징(정릉동 1036),2,2,3,0
남성,0,0,서울,0,0,24,51758234,0,0,1,0,1,1,0,0,16,희망하우징(정릉동 1036),1,1,7,1
남성,0,0,서울,0,0,49,77796914,0,0,1,0,0,0,0,0,7,연남공공원룸텔,1,1,1,1
여성,0,0,서울,0,0,76,110523861,0,0,0,0,0,0,0,0,27,희망하우징(정릉동 1036),3,4,3,0
여성,0,0,서울,0,0,12,73632249,0,0,0,0,0,1,0,0,8,연남공공원룸텔,3,4,6,0
여성,0,0,서울,0,0,119,363219647,0,0,0,0,0,0,1,1,26,희망하우징(정릉동 1036),2,4,6,0
여성,0,0,서울,0,0,123,310412258,0,0,0,0,0,1,0,0,27,희망하우징(정릉동 1036),2,4,5,0
여성,0,0,서울,0,0,19,88252116,0,0,0,0,0,1,0,0,7,희망하우징(정릉동 1036),3,3,6,0
여성,0,0,서울,0,0,76,107332902,0,0,0,0,0,1,0,0,10,희망하우징(정릉동 1036),3,4,3,0
남성,0,0,서울,0,0,99,213233446,0,0,0,0,0,1,0,1,2,연남공공원룸텔,2,2,3,1
남성,0,0,서울,0,0,61,55992373,0,0,0,0,0,1,0,0,10,희망하우징(정릉동 1036),3,3,3,1
남성,0,1,서울,0,0,139,240519526,0,0,0,0,0,0,0,0,4,연남공공원룸텔,2,4,0,0
남성,0,0,서울,0,0,154,322986858,45637074,1,0,0,0,0,0,0,7,희망하우징(정릉동 1036),2,4,1,0
여성,0,0,서울,0,0,77,394773572,45172939,1,0,0,0,0,0,1,10,연남공공원룸텔,2,4,2,0
남성,0,0,서울,0,0,57,77730769,0,0,1,1,0,0,0,0,1,희망하우징(정릉동 1036),1,4,3,0
여성,0,0,서울,0,0,39,65938669,0,0,0,0,0,0,0,0,6,희망하우징(정릉동 1036),3,3,4,0
여성,0,0,서울,0,0,53,213208265,0,0,0,0,0,1,0,0,24,연남공공원룸텔,2,2,5,0
남성,0,0,서울,0,0,82,275899058,0,0,0,0,0,1,0,0,21,희망하우징(정릉동 1036),2,2,4,1
남성,0,0,서울,0,0,36,72314252,0,0,0,0,0,0,0,0,27,희망하우징(정릉동 1036),1,4,3,0
여성,0,0,서울,0,0,53,54112109,0,0,0,0,0,1,0,0,2,희망하우징(정릉동 1036),3,3,2,0
여성,0,0,서울,0,0,27,27785402,0,0,1,0,1,1,0,1,5,희망하우징(정릉동 1036),1,1,6,1
여성,0,0,서울,0,0,43,74837853,0,0,0,0,0,0,0,0,8,연남공공원룸텔,3,3,4,0
여성,0,0,서울,0,0,96,79672379,0,0,0,0,0,1,0,0,7,희망하우징(정릉동 1036),3,4,3,0
여성,0,0,서울,0,1,50,77856130,0,0,0,0,0,1,0,0,15,희망하우징(정릉동 1036),3,4,7,0
남성,1,0,서울,0,0,98,388472084,40071387,1,0,0,0,0,0,0,15,희망하우징(정릉동 1036),2,4,2,0
남성,0,0,서울,0,0,78,261052416,0,0,0,0,0,1,0,0,26,연남공공원룸텔,2,2,5,1
여성,0,0,서울,0,0,137,269049575,0,0,0,0,0,0,0,0,17,연남공공원룸텔,2,4,2,0
남성,0,0,서울,0,0,45,38935933,0,0,1,1,0,1,0,0,3,희망하우징(정릉동 1036),1,1,5,1
여성,0,0,서울,0,0,44,139366395,0,0,0,0,0,1,0,1,26,희망하우징(정릉동 1036),3,4,9,0
남성,0,0,서울,0,0,139,128298239,0,0,0,0,0,1,0,0,8,희망하우징(정릉동 1036),3,4,3,0
여성,0,0,서울,0,0,129,318529572,47150229,1,0,0,0,1,0,0,9,희망하우징(정릉동 1036),2,4,3,0
